league,actual,top1,top1_prob,top2_prob,top3_prob,top1_hit,top3_hit,top3_prob_sum,xg_home,xg_away,xg_total,xg_diff,xg_total_bucket,xg_diff_bucket
N1,"(1, 1)","(1, 0)",0.273088040977542,0.25784180526110595,0.17570085220795892,False,True,0.706630698446607,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
N1,"(1, 0)","(1, 0)",0.24409917878965703,0.2229408166886323,0.2043663427485301,True,True,0.6714063382268194,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 0)","(0, 0)",0.41979198945116564,0.2572989864377746,0.13745343611869643,False,True,0.8145444120076367,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(1, 1)","(0, 0)",0.3741123508225649,0.21361485739787764,0.20189705677594405,False,False,0.7896242649963866,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(2, 1)","(1, 0)",0.24134743496717787,0.2307514650321318,0.20210406446546086,False,False,0.6742029644647705,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
E0,"(2, 0)","(0, 0)",0.5074509251002784,0.3445804718971496,0.11699229988535212,False,True,0.9690236968827801,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.28582432545127834,0.24164658804108044,0.18441421550290285,True,True,0.7118851289952616,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(1, 0)","(0, 0)",0.3479018446195404,0.23909074128754232,0.17295414081408514,False,True,0.7599467267211678,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(2, 0)","(0, 0)",0.35704210322998065,0.30334807059836205,0.13832369072120868,False,False,0.7987138645495513,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
I1,"(0, 0)","(0, 0)",0.6052640076373694,0.18260947776272016,0.13659102399806453,True,True,0.9244645093981542,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
SC0,"(0, 1)","(0, 0)",0.2611125823849641,0.21920978447408232,0.21514537584755697,False,False,0.6954677427066034,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
F1,"(2, 0)","(0, 0)",0.4141738337043716,0.24996887911228055,0.14750943869970196,False,False,0.8116521515163542,1.5,1.5,3.0,0.0,Medium (2.2-3.0),
